# phi V_T=1e-05 V_T=1e-03 V_T=1e-01
5.650000000000000577e-01 -1.350021156512516999e-03 -6.373056924820861158e-04 -1.756652256818427133e-04
5.675000000000000044e-01 -1.374074242752383818e-03 -6.486463893717826562e-04 -1.786427061050650041e-04
5.700000000000000622e-01 -1.398447318488421761e-03 -6.601377700904687007e-04 -1.816523588541970376e-04
5.725000000000000089e-01 -1.423143209194452320e-03 -6.717811635142153896e-04 -1.846943547064037387e-04
5.750000000000000666e-01 -1.448164752763885779e-03 -6.835779043530489270e-04 -1.877688644830570203e-04
5.775000000000000133e-01 -1.473514799509717966e-03 -6.955293331509467859e-04 -1.908760590496988126e-04
5.799999999999999600e-01 -1.499196212164536973e-03 -7.076367962858404193e-04 -1.940161093160085366e-04
5.825000000000000178e-01 -1.525211865880516217e-03 -7.199016459696150425e-04 -1.971891862357710119e-04
5.849999999999999645e-01 -1.551564648229414875e-03 -7.323252402481064899e-04 -2.003954608068451233e-04
5.875000000000000222e-01 -1.578257459202584388e-03 -7.449089430011068521e-04 -2.036351040711363906e-04
5.899999999999999689e-01 -1.605293211210960221e-03 -7.576541239423574287e-04 -2.069082871145674235e-04
5.925000000000000266e-01 -1.632674829085070103e-03 -7.705621586195565351e-04 -2.102151810670532025e-04
5.949999999999999734e-01 -1.660405250075024271e-03 -7.836344284143519122e-04 -2.135559571024743530e-04
5.975000000000000311e-01 -1.688487423850527610e-03 -7.968723205423470157e-04 -2.169307864386545398e-04
5.999999999999999778e-01 -1.716924312500864476e-03 -8.102772280530967869e-04 -2.203398403373358553e-04
6.025000000000000355e-01 -1.745718890534914526e-03 -8.238505498301103638e-04 -2.237832901041579494e-04
6.049999999999999822e-01 -1.774874144881141876e-03 -8.375936905908475030e-04 -2.272613070886359650e-04
6.075000000000000400e-01 -1.804393074887600734e-03 -8.515080608867245425e-04 -2.307740626841414569e-04
6.099999999999999867e-01 -1.834278692321929336e-03 -8.655950771031072468e-04 -2.343217283278816831e-04
6.125000000000000444e-01 -1.864534021371358615e-03 -8.798561614593179616e-04 -2.379044755008824746e-04
6.149999999999999911e-01 -1.895162098642703312e-03 -8.942927420086286758e-04 -2.415224757279685569e-04
6.175000000000000488e-01 -1.926165973162369130e-03 -9.089062526382666587e-04 -2.451759005777489676e-04
6.199999999999999956e-01 -1.957548706376346231e-03 -9.236981330694106658e-04 -2.488649216625980830e-04
6.225000000000000533e-01 -1.989313372150219427e-03 -9.386698288571948415e-04 -2.525897106386421195e-04
6.250000000000000000e-01 -2.021463056769152132e-03 -9.538227913907026479e-04 -2.563504392057420578e-04
6.275000000000000577e-01 -2.054000858937902844e-03 -9.691584778929740202e-04 -2.601472791074806862e-04
6.300000000000000044e-01 -2.086929889780816255e-03 -9.846783514210000546e-04 -2.639804021311477475e-04
6.325000000000000622e-01 -2.120253272841822814e-03 -1.000383880865726152e-03 -2.678499801077269824e-04
6.350000000000000089e-01 -2.153974144084443067e-03 -1.016276540952048332e-03 -2.717561849118824689e-04
6.375000000000000666e-01 -2.188095651891785055e-03 -1.032357812238819195e-03 -2.756991884619473462e-04
6.400000000000000133e-01 -2.222620957066543008e-03 -1.048629181118840336e-03 -2.796791627199105880e-04
6.424999999999999600e-01 -2.257553232831002558e-03 -1.065092139818869495e-03 -2.836962796914067018e-04
6.450000000000000178e-01 -2.292895664827035961e-03 -1.081748186399617310e-03 -2.877507114257040204e-04
6.474999999999999645e-01 -2.328651451116100363e-03 -1.098598824755744278e-03 -2.918426300156931543e-04
6.500000000000000222e-01 -2.364823802179246044e-03 -1.115645564615868343e-03 -2.959722075978783729e-04
6.524999999999999689e-01 -2.401415940917103406e-03 -1.132889921542556012e-03 -3.001396163523659491e-04
6.550000000000000266e-01 -2.438431102649903353e-03 -1.150333416932331669e-03 -3.043450285028565698e-04
6.574999999999999734e-01 -2.475872535117449973e-03 -1.167977578015667395e-03 -3.085886163166336269e-04
6.600000000000000311e-01 -2.513743498479147857e-03 -1.185823937856993367e-03 -3.128705521045565489e-04
6.624999999999999778e-01 -2.552047265313979116e-03 -1.203874035354687670e-03 -3.171910082210503386e-04
6.650000000000000355e-01 -2.590787120620524197e-03 -1.222129415241087142e-03 -3.215501570640984718e-04
6.674999999999999822e-01 -2.629966361816939331e-03 -1.240591628082475225e-03 -3.259481710752341692e-04
6.700000000000000400e-01 -2.669588298740982989e-03 -1.259262230279095413e-03 -3.303852227395333492e-04
6.724999999999999867e-01 -2.709656253649988123e-03 -1.278142784065137375e-03 -3.348614845856055745e-04
6.750000000000000444e-01 -2.750173561220884289e-03 -1.297234857508749529e-03 -3.393771291855889570e-04
6.774999999999999911e-01 -2.791143568550183331e-03 -1.316540024512028416e-03 -3.439323291551406162e-04
