# S_vals   V_full,   V_ht,   V_zero
1.5065065065e+00 -5.3740612031e-03 -1.3154445998e-02 -5.4069081148e-03
1.5115115115e+00 -5.3787988616e-03 -1.3295166694e-02 -5.4119933600e-03
1.5165165165e+00 -5.3826924516e-03 -1.3436906172e-02 -5.4162373414e-03
1.5215215215e+00 -5.3857265200e-03 -1.3579668384e-02 -5.4196256171e-03
1.5265265265e+00 -5.3878862160e-03 -1.3723457285e-02 -5.4221436393e-03
1.5315315315e+00 -5.3891572677e-03 -1.3868276833e-02 -5.4237767536e-03
1.5365365365e+00 -5.3895247930e-03 -1.4014130989e-02 -5.4245101991e-03
1.5415415415e+00 -5.3889745926e-03 -1.4161023716e-02 -5.4243291081e-03
1.5465465465e+00 -5.3874904541e-03 -1.4308958983e-02 -5.4232185059e-03
1.5515515516e+00 -5.3850580237e-03 -1.4457940759e-02 -5.4211633104e-03
1.5565565566e+00 -5.3816623813e-03 -1.4607973017e-02 -5.4181483324e-03
1.5615615616e+00 -5.3772872017e-03 -1.4759059733e-02 -5.4141582750e-03
1.5665665666e+00 -5.3719184280e-03 -1.4911204886e-02 -5.4091777336e-03
1.5715715716e+00 -5.3655395809e-03 -1.5064412458e-02 -5.4031911956e-03
1.5765765766e+00 -5.3581358237e-03 -1.5218686434e-02 -5.3961830404e-03
1.5815815816e+00 -5.3496903446e-03 -1.5374030801e-02 -5.3881375389e-03
1.5865865866e+00 -5.3401884857e-03 -1.5530449551e-02 -5.3790388537e-03
1.5915915916e+00 -5.3296133859e-03 -1.5687946678e-02 -5.3688710385e-03
1.5965965966e+00 -5.3179497435e-03 -1.5846526177e-02 -5.3576180384e-03
1.6016016016e+00 -5.3051812152e-03 -1.6006192050e-02 -5.3452636891e-03
1.6066066066e+00 -5.2912912440e-03 -1.6166948299e-02 -5.3317917175e-03
1.6116116116e+00 -5.2762628723e-03 -1.6328798929e-02 -5.3171857407e-03
1.6166166166e+00 -5.2600810592e-03 -1.6491747949e-02 -5.3014292663e-03
