# S_vals,  V_ht_pi,   V_ht_pi_over4,   V_ht_pi_by4
6.0260260260e-02 -6.2589090659e+02 -6.5563435027e+02 -6.0454558944e+02
6.0460460460e-02 -6.3400046643e+02 -6.6411178749e+02 -6.1239820388e+02
6.0660660661e-02 -6.4218520378e+02 -6.7266789387e+02 -6.2032360343e+02
6.0860860861e-02 -6.5044555717e+02 -6.8130313065e+02 -6.2832221121e+02
6.1061061061e-02 -6.5878196632e+02 -6.9001796031e+02 -6.3639445144e+02
6.1261261261e-02 -6.6719487210e+02 -6.9881284657e+02 -6.4454074948e+02
6.1461461461e-02 -6.7568471660e+02 -7.0768825444e+02 -6.5276153181e+02
6.1661661662e-02 -6.8425194305e+02 -7.1664465016e+02 -6.6105722605e+02
6.1861861862e-02 -6.9289699589e+02 -7.2568250121e+02 -6.6942826092e+02
6.2062062062e-02 -7.0162032070e+02 -7.3480227635e+02 -6.7787506630e+02
6.2262262262e-02 -7.1042236428e+02 -7.4400444559e+02 -6.8639807316e+02
6.2462462462e-02 -7.1930357459e+02 -7.5328948019e+02 -6.9499771363e+02
6.2662662663e-02 -7.2826440075e+02 -7.6265785266e+02 -7.0367442094e+02
6.2862862863e-02 -7.3730529309e+02 -7.7211003676e+02 -7.1242862947e+02
6.3063063063e-02 -7.4642670310e+02 -7.8164650752e+02 -7.2126077470e+02
6.3263263263e-02 -7.5562908345e+02 -7.9126774122e+02 -7.3017129327e+02
6.3463463463e-02 -7.6491288799e+02 -8.0097421539e+02 -7.3916062291e+02
6.3663663664e-02 -7.7427857176e+02 -8.1076640881e+02 -7.4822920250e+02
6.3863863864e-02 -7.8372659095e+02 -8.2064480151e+02 -7.5737747204e+02
6.4064064064e-02 -7.9325740296e+02 -8.3060987480e+02 -7.6660587266e+02
6.4264264264e-02 -8.0287146635e+02 -8.4066211121e+02 -7.7591484660e+02
6.4464464464e-02 -8.1256924085e+02 -8.5080199456e+02 -7.8530483726e+02
6.4664664665e-02 -8.2235118740e+02 -8.6103000989e+02 -7.9477628913e+02
6.4864864865e-02 -8.3221776808e+02 -8.7134664351e+02 -8.0432964785e+02
6.5065065065e-02 -8.4216944618e+02 -8.8175238299e+02 -8.1396536017e+02
